id,name,symbol,price_usd,market_cap,ai,gaming,memes,rwa,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage
bcoq-inu,BCOQ INU,bcoq,3.756e-09,0.0,0,0,1,0,6223.0,260846.0,51940.0,4.455e-09,3.061e-09,6.42081e-10,20.61777,0.0,0.0,0.0,69412558275909.0,69412558275909.0,2.87596e-07,-98.69334,2.408e-09,56.06503
derp,Derp,derp,1.033e-09,0.0,0,0,1,0,6223.0,103311.0,53315.0,1.135e-09,8.21064e-10,1.80066e-10,21.10906,0.0,0.0,0.0,100000000000000.0,100000000000000.0,2.46898e-07,-99.58237,4.15075e-10,148.41982
bnb-cat,Binance Cat,poseidon,0.00013363,0.0,0,0,1,0,6223.0,133630.0,26200.0,0.00013363,0.00012064,1.88e-06,1.42598,0.0,0.0,0.0,1000000000.0,1000000000.0,0.0060739,-97.81146,0.00010925,21.6772
chilly,Chilly,chilly,3.68e-06,0.0,0,0,1,0,6223.0,3554.56,96.18,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,965521020.299209,1000000000.0,0.00085987,-99.57186,2.38e-06,54.91026
bonk-on-eth,BONK on ETH,bonk,8.10655e-10,0.0,0,0,1,0,6223.0,81065.0,27597.0,8.44261e-10,7.19854e-10,2.191e-11,2.77783,0.0,0.0,0.0,100000000000000.0,100000000000000.0,5.7987e-08,-98.60201,3.82872e-10,111.72883
cardano-maxi,Cardano Maxi,maxi,1.959e-05,0.0,0,0,1,0,6223.0,19588.35,23.81,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,1000000000.0,1000000000.0,0.00011942,-83.59655,1.947e-05,0.58939
crob-mob,Crob Mob,crob,0.0145815,0.0,0,0,1,0,6223.0,14656127.0,13124.71,0.01505812,0.01393728,2.15e-06,0.01477,0.0,0.0,0.0,1000000000.0,1000000000.0,0.060856,-75.91674,0.01125589,30.20853
baby-troll,Baby Troll,babytroll,3.2488e-14,0.0,0,0,1,0,6223.0,13645.12,174.36,3.8745e-14,3.2469e-14,-6.208e-15,-16.04269,0.0,0.0,0.0,4.2e+17,4.2e+17,1.4426e-11,-99.77481,1.0725e-14,202.89458
boba,BOBA,boba,2.8249e-08,0.0,0,0,1,0,6223.0,11883.88,24.4,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,420690000000.0,1000000000.0,6.80155e-07,-95.84675,1.885e-08,49.86234
bergerdoge,BergerDoge,bergerdoge,2.07083e-13,0.0,0,0,1,0,6223.0,86975.0,5.2,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,4.2e+17,4.2e+17,2.634e-12,-92.13846,1.41777e-13,46.06198
babykitty,BabyKitty,babykitty,0.0,0.0,0,0,1,0,6223.0,387803.0,260.32,0.0,0.0,0.0,0.21057,0.0,0.0,0.0,1e+25,1000000000.0,1e-18,-97.07811,0.0,479.89049
chiliz-inu,Chiliz Inu,chzinu,1.301e-05,0.0,0,0,1,0,6223.0,130118.0,249.51,1.3e-05,1.254e-05,3.77753e-07,2.98997,0.0,0.0,0.0,10000000000.0,10000000000.0,0.00078571,-98.34494,1.056e-05,23.19518
bridged-maga-wormhole,Bridged MAGA (Wormhole),trump,0.135234,0.0,0,0,1,0,6223.0,174979.5,4720.72,0.134868,0.123558,0.00988213,7.88348,0.0,0.0,0.0,999842256.129972,1000000000.0,17.69,-99.23751,0.111208,21.27565
bitcoin-cats,Bitcoin Cats,1cat,0.00020971,0.0,0,1,1,0,6223.0,1048415.0,211200.0,0.00021542,0.00020486,3.76e-06,1.82787,0.0,0.0,0.0,5000000000.0,10000000000.0,0.01262418,-98.33904,0.00019694,6.47279
amc-3,AMC,amc,2.75e-09,0.0,0,0,1,0,6223.0,95470.0,171.09,2.752e-09,2.587e-09,1.55e-10,5.97357,0.0,0.0,0.0,34690000000000.0,34690000000000.0,2.1843e-07,-98.74435,2.034e-09,34.8242
betbuinu,BetbuInu,crypto,0.00333938,0.0,0,0,1,0,6223.0,33394.0,703.02,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,10000000.0,10000000.0,0.081541,-95.90464,0.00228588,46.08694
